13.5.21 12:17
Statistika projektu

                             	Segmenty	 Slova	Znaky (bez mezer)	Znaky (včetně mezer)	#Soubory	
Celkem:                      	   45952	551706	          3110852	             3605509	     652	
Zbývající:                   	   36410	479036	          2695667	             3129142	     616	
Jedinečné segmenty:          	   34766	490422	          2734557	             3182321	     652	
Zbývající jedinečné segmenty:	   30782	437335	          2445441	             2844509	     616	


Statistika jednotlivých souborů:

Název souboru                                                                                        	Segmenty celkem	Zbývající segmenty	Jedinečné segmenty	Zbývající jedinečné segmenty	Slova celkem	Zbývající slova	Jedinečná slova	Jedinečná Zbývající slova	Znaky celkem (bez mezer)	Zbývající znaky (bez mezer)	Jedinečné znaky (bez mezer)	Zbývající jedinečné znaky (bez mezer)	Znaky celkem (včetně mezer)	Zbývající znaky (včetně mezer)	Jedinečné znaky (včetně mezer)	Jedinečné zbývající znaky (včetně mezer)	
about-export-data.md                                                                                 	             53	                49	                53	                          49	         546	            530	            546	                      530	                    2988	                       2873	                       2988	                                 2873	                       3460	                          3334	                          3460	                                    3334	
about-intelligent-cloud.md                                                                           	             26	                23	                24	                          23	         394	            384	            390	                      384	                    2409	                       2311	                       2369	                                 2311	                       2759	                          2656	                          2718	                                    2656	
about-locale-language.md                                                                             	             45	                43	                42	                          42	         709	            705	            698	                      698	                    3938	                       3898	                       3847	                                 3847	                       4579	                          4538	                          4481	                                    4481	
about-localization.md                                                                                	             58	                55	                56	                          55	         224	            218	            220	                      218	                    1869	                       1814	                       1829	                                 1814	                       2023	                          1966	                          1982	                                    1966	
about-new-company.md                                                                                 	             47	                45	                45	                          45	         696	            692	            692	                      692	                    3968	                       3928	                       3928	                                 3928	                       4596	                          4555	                          4555	                                    4555	
about-reuse-company-invoicing.md                                                                     	             33	                31	                31	                          31	         472	            468	            468	                      468	                    2624	                       2584	                       2584	                                 2584	                       3047	                          3006	                          3006	                                    3006	
across-about-the-data-exchange-framework.md                                                          	             60	                58	                58	                          58	        1195	           1191	           1191	                     1191	                    6811	                       6771	                       6771	                                 6771	                       7935	                          7894	                          7894	                                    7894	
across-browser-settings.md                                                                           	             43	                41	                37	                          37	         378	            374	            370	                      370	                    2453	                       2413	                       2353	                                 2353	                       2784	                          2743	                          2683	                                    2683	
across-business-functionality.md                                                                     	             47	                43	                45	                          43	         455	            449	            451	                      449	                    3183	                       3138	                       3143	                                 3138	                       3574	                          3528	                          3533	                                    3528	
across-data-exchange.md                                                                              	             21	                16	                15	                          14	         218	            196	            160	                      144	                    1367	                       1242	                       1055	                                  975	                       1554	                          1413	                          1191	                                    1096	
across-display-lists-different-views.md                                                              	             14	                12	                12	                          12	         203	            199	            199	                      199	                    1026	                        986	                        986	                                  986	                       1210	                          1169	                          1169	                                    1169	
across-edit-posted-document.md                                                                       	             28	                25	                26	                          25	         280	            272	            276	                      272	                    1668	                       1601	                       1628	                                 1601	                       1915	                          1844	                          1874	                                    1844	
across-exchange-data.md                                                                              	             32	                27	                29	                          27	         451	            429	            431	                      429	                    2783	                       2640	                       2663	                                 2640	                       3189	                          3030	                          3053	                                    3030	
across-faq.md                                                                                        	            123	               119	               119	                         117	        1881	           1874	           1852	                     1849	                   10909	                      10837	                      10719	                                10687	                      12597	                         12524	                         12385	                                   12353	
across-field-mapping-when-exporting-payment-files-using-bank-data-conversion-service.md              	            177	               164	               117	                         111	         996	            977	            828	                      819	                    5332	                       5213	                       4336	                                 4283	                       6119	                          5995	                          5032	                                    4976	
across-field-mapping-when-importing-sepa-camt-files.md                                               	            154	               129	                76	                          69	         826	            797	            600	                      593	                    4697	                       4538	                       3441	                                 3433	                       5296	                          5134	                          3917	                                    3909	
across-how-connect-disconnect-income-document-records.md                                             	             28	                26	                25	                          25	         569	            565	            544	                      544	                    3156	                       3116	                       2994	                                 2994	                       3687	                          3646	                          3504	                                    3504	
